name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
hyderabad,2021-01-26,31.5,17.2,24.5,31.0,17.2,24.4,16.6,64.9,0.0,0.0,0.0,0,0,0,24.5,11.0,147.0,1014.5,8.5,5.3,175.0,15.1,7,0.0,2021-01-26 06:49:19,2021-01-26 18:08:13,0.42,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-27,29.9,17.2,23.8,30.0,17.2,23.9,17.4,70.2,0.0,0.0,0.0,0,0,0,26.3,14.4,130.0,1014.7,20.2,5.3,165.8,14.4,6,0.0,2021-01-27 06:49:11,2021-01-27 18:08:46,0.45,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-28,29.0,18.0,23.2,29.2,18.0,23.3,17.3,71.8,0.0,0.0,0.0,0,0,0,28.1,12.8,128.3,1015.6,18.7,4.4,162.4,14.0,6,0.0,2021-01-28 06:49:01,2021-01-28 18:09:20,0.48,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-29,30.0,18.0,23.6,29.1,18.0,23.5,16.0,66.0,0.0,0.0,0.0,0,0,0,28.8,9.4,137.7,1015.9,17.9,4.9,158.7,13.8,6,0.0,2021-01-29 06:48:50,2021-01-29 18:09:53,0.5,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-30,29.5,17.2,23.6,28.7,17.2,23.5,16.8,69.4,0.0,0.0,0.0,0,0,0,23.0,9.4,130.5,1015.3,21.3,4.9,147.3,12.9,6,0.0,2021-01-30 06:48:37,2021-01-30 18:10:25,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-31,28.5,18.9,23.0,29.3,18.9,23.1,18.0,74.9,0.0,0.0,0.0,0,0,0,27.4,9.5,100.5,1016.3,34.4,4.3,139.7,12.2,6,0.0,2021-01-31 06:48:24,2021-01-31 18:10:57,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-01,27.0,19.0,22.6,27.4,19.0,22.6,17.3,73.8,0.0,0.0,0.0,0,0,0,29.5,10.1,98.3,1018.2,46.6,4.0,136.3,11.9,6,0.0,2021-02-01 06:48:09,2021-02-01 18:11:29,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999,remote"
hyderabad,2021-02-02,28.0,15.3,21.6,27.4,15.3,21.5,14.2,66.7,0.0,0.0,0.0,0,0,0,27.0,12.6,105.4,1018.6,30.4,4.5,176.7,15.2,7,0.0,2021-02-02 06:47:53,2021-02-02 18:12:00,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-03,28.7,15.5,22.0,27.2,15.5,21.8,11.8,58.0,0.0,0.0,0.0,0,0,0,29.5,11.0,104.5,1018.0,15.0,5.1,180.3,15.7,7,0.0,2021-02-03 06:47:36,2021-02-03 18:12:30,0.7,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-04,28.3,15.2,21.9,27.1,15.2,21.7,10.9,52.9,0.0,0.0,0.0,0,0,0,30.2,14.2,118.5,1017.3,5.9,5.4,179.9,15.5,7,0.0,2021-02-04 06:47:18,2021-02-04 18:13:00,0.75,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-05,28.3,13.3,21.6,27.3,13.3,21.4,11.2,55.7,0.0,0.0,0.0,0,0,0,23.0,11.0,116.3,1016.0,2.0,5.4,175.5,15.1,7,0.0,2021-02-05 06:46:59,2021-02-05 18:13:30,0.77,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-06,29.4,15.3,22.7,28.3,15.3,22.4,12.4,55.6,0.0,0.0,0.0,0,0,0,23.4,9.7,107.8,1015.0,4.3,5.7,170.8,14.6,6,0.0,2021-02-06 06:46:39,2021-02-06 18:13:59,0.8,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-07,28.2,15.3,22.0,27.5,15.3,21.9,12.4,56.7,0.0,0.0,0.0,0,0,0,27.7,12.6,67.8,1016.6,4.9,5.5,163.0,14.1,6,0.0,2021-02-07 06:46:17,2021-02-07 18:14:27,0.84,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-08,28.7,15.6,21.5,27.6,15.6,21.4,10.8,54.1,0.0,0.0,0.0,0,0,0,29.2,9.4,84.9,1017.5,1.6,5.7,176.7,15.3,7,0.0,2021-02-08 06:45:55,2021-02-08 18:14:55,0.87,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-09,31.0,15.1,22.2,29.3,15.1,21.9,11.0,52.8,0.0,0.0,0.0,0,0,0,21.2,9.2,93.7,1016.2,3.9,5.6,165.3,14.4,6,0.0,2021-02-09 06:45:31,2021-02-09 18:15:23,0.91,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-10,32.1,13.4,22.4,30.6,13.4,22.1,12.2,57.8,0.0,0.0,0.0,0,0,0,17.6,9.2,109.8,1014.1,0.1,5.3,184.1,15.9,7,0.0,2021-02-10 06:45:07,2021-02-10 18:15:49,0.95,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999,remote"
hyderabad,2021-02-11,28.1,14.3,22.3,27.8,14.3,22.2,13.7,61.7,0.0,0.0,0.0,0,0,0,25.9,11.5,113.0,1012.7,24.3,5.5,166.0,14.3,6,0.0,2021-02-11 06:44:41,2021-02-11 18:16:16,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43128599999,VOHS,43128099999,remote"
hyderabad,2021-02-12,29.0,15.0,22.5,28.0,15.0,22.3,12.8,59.3,0.0,0.0,0.0,0,0,0,26.6,11.2,135.8,1013.7,31.0,5.4,173.7,14.9,7,0.0,2021-02-12 06:44:14,2021-02-12 18:16:41,0.0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VOHY,F3069,VOHS,remote"
hyderabad,2021-02-13,29.1,15.0,22.7,28.1,15.0,22.5,13.5,60.5,0.0,0.0,0.0,0,0,0,24.5,15.9,125.8,1015.3,8.4,5.5,172.2,15.0,7,0.0,2021-02-13 06:43:47,2021-02-13 18:17:07,0.05,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-14,30.2,15.4,23.5,28.7,15.4,23.2,12.8,55.5,0.0,0.0,0.0,0,0,0,24.5,9.4,115.6,1015.6,2.3,5.5,171.6,14.9,7,0.0,2021-02-14 06:43:18,2021-02-14 18:17:31,0.08,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,remote,VOHS,43128099999"
hyderabad,2021-02-15,31.1,18.0,24.6,29.8,18.0,24.2,12.2,48.7,0.0,0.0,0.0,0,0,0,23.4,12.4,136.4,1014.3,5.2,5.6,165.0,14.2,6,0.0,2021-02-15 06:42:49,2021-02-15 18:17:55,0.11,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-16,31.5,19.0,24.8,30.3,19.0,24.5,13.0,50.3,0.0,0.0,0.0,0,0,0,32.8,10.6,136.1,1013.5,7.8,5.9,165.0,14.2,6,0.0,2021-02-16 06:42:18,2021-02-16 18:18:19,0.14,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-17,30.1,17.4,24.1,28.9,17.4,23.8,12.2,49.4,0.0,0.0,0.0,0,0,0,33.8,11.2,115.5,1013.6,5.4,5.7,162.7,14.0,6,0.0,2021-02-17 06:41:47,2021-02-17 18:18:42,0.18,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-18,28.0,18.0,23.0,28.0,18.0,23.0,14.3,58.9,0.0,0.0,0.0,0,0,0,40.3,16.6,114.2,1015.3,23.7,5.5,155.0,13.3,6,0.0,2021-02-18 06:41:15,2021-02-18 18:19:05,0.21,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-19,26.1,18.0,20.8,26.1,18.0,20.8,17.1,81.1,1.0,100.0,4.17,rain,0,0,30.2,14.8,84.1,1017.4,72.6,4.3,138.8,12.1,7,0.0,2021-02-19 06:40:41,2021-02-19 18:19:27,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-20,26.1,18.0,22.2,26.1,18.0,22.2,16.4,71.7,0.1,100.0,4.17,rain,0,0,31.7,13.1,83.7,1015.8,63.3,4.7,184.1,15.9,8,0.0,2021-02-20 06:40:08,2021-02-20 18:19:48,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOHY,F3069,VOHS,43128099999,remote"
hyderabad,2021-02-21,27.1,18.0,22.7,27.6,18.0,22.7,16.8,71.5,0.0,0.0,0.0,0,0,0,38.9,14.2,99.3,1015.9,56.4,5.3,191.7,16.7,8,0.0,2021-02-21 06:39:33,2021-02-21 18:20:09,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,VOHS,43128099999"
hyderabad,2021-02-22,28.9,17.2,23.9,29.2,17.2,24.0,17.5,69.5,0.1,100.0,4.17,rain,0,0,23.4,9.4,102.2,1016.8,40.3,5.7,188.4,16.4,8,0.0,2021-02-22 06:38:57,2021-02-22 18:20:30,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-23,31.1,17.3,24.5,29.8,17.3,24.2,15.0,60.0,0.0,0.0,0.0,0,0,0,22.0,7.6,118.4,1015.3,15.4,5.5,208.1,18.1,8,0.0,2021-02-23 06:38:21,2021-02-23 18:20:50,0.37,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-24,32.1,15.5,24.1,30.7,15.5,23.7,13.0,54.5,0.0,0.0,0.0,0,0,0,23.8,9.4,114.6,1014.1,7.6,5.6,214.2,18.6,8,0.0,2021-02-24 06:37:44,2021-02-24 18:21:09,0.4,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-25,32.8,16.0,24.5,31.1,16.0,24.0,12.2,52.1,0.0,0.0,0.0,0,0,0,22.3,12.2,59.1,1013.7,0.1,5.6,211.2,18.1,8,0.0,2021-02-25 06:37:06,2021-02-25 18:21:28,0.43,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-26,35.1,16.0,25.2,33.1,16.0,24.6,12.3,50.4,0.0,0.0,0.0,0,0,0,22.0,9.2,216.5,1012.0,3.4,6.0,208.1,17.9,8,0.0,2021-02-26 06:36:27,2021-02-26 18:21:47,0.47,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-27,33.6,16.0,25.4,31.7,16.0,24.8,11.3,44.9,0.0,0.0,0.0,0,0,0,21.6,9.4,273.6,1011.4,12.3,5.6,202.7,17.7,8,0.0,2021-02-27 06:35:48,2021-02-27 18:22:05,0.5,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-28,35.1,16.0,25.6,33.1,16.0,25.0,11.3,45.9,0.0,0.0,0.0,0,0,0,19.1,9.4,107.0,1012.0,30.4,5.8,179.6,15.4,8,0.0,2021-02-28 06:35:09,2021-02-28 18:22:23,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-03-01,35.1,16.0,25.9,33.4,16.0,25.4,12.5,47.4,0.0,0.0,0.0,0,0,0,24.1,12.4,185.3,1014.8,69.5,5.4,166.6,14.3,7,0.0,2021-03-01 06:34:28,2021-03-01 18:22:40,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-03-02,34.0,17.0,25.9,32.9,17.0,25.5,14.8,55.4,0.0,0.0,0.0,0,0,0,24.5,10.8,79.4,1015.4,49.7,5.7,194.2,16.9,7,0.0,2021-03-02 06:33:47,2021-03-02 18:22:57,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-03-03,34.5,17.0,26.1,32.8,17.0,25.6,13.6,51.3,0.0,0.0,0.0,0,0,0,29.9,12.4,87.3,1014.6,17.3,5.6,205.7,17.7,8,0.0,2021-03-03 06:33:05,2021-03-03 18:23:14,0.64,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-03-04,34.3,17.5,26.4,33.3,17.5,25.9,12.4,44.8,0.0,0.0,0.0,0,0,0,26.3,11.2,111.4,1015.0,0.1,5.9,207.2,18.0,8,0.0,2021-03-04 06:32:23,2021-03-04 18:23:30,0.67,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
